DATE,AREA_BURNED_HA,LOG_AREA_BURNED_HA
1971-08,43025.7849378128,4.633738895793632
1971-09,9.71245541376,1.0298890273608186
1971-10,78.50901459456,1.9004163710052537
1971-11,0.80937128448,0.2575276935904718
1971-12,0.0,0.0
1972-01,0.0,0.0
1972-02,0.0,0.0
1972-03,2.83279949568,0.5835161007055973
1972-04,133.54626193917997,2.1288716363863696
1972-05,46100.57026021556,4.663715718095346
1972-06,5996.21097364296,3.7779493269897437
1972-07,125.04786345219999,2.100535488657575
1972-08,229.05207350782,2.3618261520061448
1972-09,48.5622770688,1.6951512512088114
1972-10,44.5154206464,1.658158560767445
1972-11,0.0,0.0
1972-12,0.0,0.0
1973-01,0.0,0.0
1973-02,0.0,0.0
1973-03,0.80937128448,0.2575276935904718
1973-04,158.23208611584,2.2020305848777184
1973-05,1675.0464823644,3.2242860588971425
